sex-shop-and-cinema-licence
occupational-therapist-registration
operating-department-practitioner-registration
orthoptist-registration
orthotist-registration
register-paramedic
register-prosthetist
chiropodist-or-podiatrist-registration
clinical-scientist-registration
dietitian-registration
waste-broker-registration-england-scotland-wales
bookmaker-s-premises-licence-scotland
vehicle-immobilisers-clamping-licence-england-wales-northern-ireland
permit-discharges-surface-groundwater
radiographer-registration-all-uk
notification-to-process-personal-data
control-of-major-accident-hazards-notification
registration-of-cattle-holdings
child-work-permit-england-wales
registration-of-sheep-holdings
dog-breeding-licence-england-scotland-wales
explosives-licence-england-scotland-wales
fireworks-manufacture-registration
registration-of-goat-holdings
hemp-growing-licence
authorisation-to-advise-on-or-arrange-general-insurance
live-fish-introduction-consent-england-wales
lottery-licence-northern-ireland
ionising-radiation-notification-england-scotland-wales
child-performance-licence-england-scotland-wales
licence-to-keep-non-native-crayfish-england-wales
door-supervisor-licence
explosives-vessels-harbours-licence
human-fertilisation-and-embryology-licence
impoundment-licence-england-wales
packaging-waste-registration-e-s-w
registration-to-sell-non-medicinal-poisons
scaffolding-and-hoarding-licence
registration-of-laying-hen-establishments-scotland
discharge-of-trade-effluent-consent-scotland
wholesale-dealer-s-authorisation-for-veterinary-medicines
marketing-authorisation-of-veterinary-medicines
caa-operating-licence
phytosanitary-certificate-england-scotland-wales
collective-worship-music-reproduction-licence
collective-worship-copyright-licence
end-of-life-vehicles-producer-registration
wild-and-protected-bird-licence-england-scotland-wales
licence-for-regulated-scientific-procedures-on-protected-animals
personal-licence-to-sell-alcohol
bingo-club-licence-northern-ireland
collect-or-produce-forest-reproductive-material-licence-northern-ireland
on-construction-dea-accreditation
domestic-energy-assessor-existing-buildings
non-domestic-energy-assessor-accreditation
operational-ratings-assessor-accreditation-england-wales
track-betting-licence-northern-ireland
licence-to-show-a-single-film-title-in-public
licence-to-show-unlimited-films-in-public
licence-to-work-with-asbestos-england-wales-scotland
adoption-support-agency-registration-england
independent-fostering-service-registration-england
social-housing-provider-registration
domestic-energy-assessor-northern-ireland
non-domestic-energy-assessor-accreditation-ni
air-conditioning-energy-assessor-accreditation-northern-ireland
dec-assessor-accreditation-northern-ireland
domestic-energy-assessor-accreditation-scotland
on-construction-dea-accreditation-northern-ireland
amusement-permit-northern-ireland
independent-school-registration-northern-ireland
support-services-providing-day-care-to-adults-registration-scotland
specified-risk-material-authorisation-scotland
extended-hours-application-scotland
nurse-agency-registration-scotland
independent-school-registration-scotland
licence-to-possess-specified-animal-pathogens-or-carriers-northern-ireland
street-works-operative
new-marina-application-england-scotland-wales
business-craft-inland-waterways-northern-ireland
hazardous-waste-producer-registration
practising-as-a-costs-lawyer-england-and-wales
solvent-emissions-pollution-prevention-and-control-permit-part-b-scotland
pcb-holding-registration-scotland
accredited-electrical-and-electronic-equipment-producer-compliance-scheme-scotland
pollution-prevention-and-control-permit-part-b-dry-cleaning-scotland
guard-dog-kennels-registration-northern-ireland
pesticide-approvals-northern-ireland
holiday-resort-exemption-from-sunday-trading-northern-ireland
domiciliary-care-service-registration-ni
gas-conveyance-licence-northern-ireland
road-opening-permit-scotland
specific-risk-material-authorisation-england
specific-risk-material-authorisation-wales
greenhouse-gas-emissions-permit
certificate-design-construction-scotland
cattle-movement-notification-scotland
children-s-day-care-provider-registration-wales
conveyancing-practitioner-registration-scotland
gas-storage-licence-northern-ireland
waste-management-licence-northern-ireland
egg-packing-centre-registration-scotland
flood-defence-consent-england-wales
listed-veterinary-nurse-authorisation-all-uk
day-care-services-registration-northern-ireland
tourist-accommodation-certification-northern-ireland
electricity-interconnector-licence-england-wales-and-scotland
waste-packaging-registration-northern-ireland
solicitor-s-practising-certificate-scotland
pollution-inventory-reporting-england-and-wales
permission-to-award-a-degree
day-care-settings-registration-northern-ireland
residential-family-centre-registration-northern-ireland
solicitor-s-practising-certificate-northern-ireland
pollution-prevention-and-control-permit-part-a-and-b-northern-ireland
redress-scheme-registration-estate-agencies
solicitor-s-practising-certificate-england-wales
school-special-educational-needs-sen-approval-northern-ireland
legal-executive-registration-england-and-wales
street-works-licence-england-scotland-wales
atp-certification
raised-structure-approval-scotland
certificate-of-fitness-northern-ireland
register-to-practise-as-a-veterinarian
insolvency-practitioner-authorisation-ni
personal-licence-scotland
pesticide-approval
water-supply-licence-england-wales
pollution-data-reporting-scotland
pollution-prevention-and-control-permit-part-a-scotland
pleasure-permit-northern-ireland
slaughterman-licence-england-wales-scotland
regulated-qualification-course-approval-northern-ireland
waste-packaging-reprocessor-accreditation-england-wales-scotland
marine-works-consent
authorisation-to-issue-horse-passports
keep-or-release-non-native-fish-england-and-wales
heather-and-grass-burning-licence-wales
local-authority-environmental-permit
club-gaming-permit-scotland
club-machine-permit-scotland
licensed-premises-gaming-machine-permit-scotland
ppc-permit-part-c-northern-ireland
childcare-premises-registration-england
executry-practitioner-registration-scotland
permit-operate-part-a1-regulated-facility-england-wales
insolvency-practitioner-authorisations-england-scotland-wales
slaughter-house-rpa-notification-england
greenfield-soil-declaration-northern-ireland
licence-projection-over-highway-england-wales
cockle-fishing-licence-dee-estuary-england-wales
heather-and-grass-burning-licence-england
dam-or-weir-licence-scotland
importing-or-exporting-drug-precursors
self-certify-building-work-registration
food-irradiation-licence-scotland
licence-to-possess-or-sell-drug-precursors
approval-for-products-and-substances-used-by-drinking-water-suppliers-england-and-wales
approval-and-accreditation-of-vocational-training-courses-scotland
export-control-licence
radioactive-substances-registration-scotland
key-holding-licence
public-space-surveillance-cctv-licence
authorisation-to-accumulate-and-dispose-of-radioactive-waste-scotland
gold-silver-mining-option-for-lease-scotland
seed-marketing-licence-england
special-needs-school-approval-wales
pollution-data-reporting-northern-ireland
classification-of-bovine-carcases-licence-england
automated-grading-of-bovine-carcases-licence-england
sex-shop
register-as-number-plate-supplier
food-business-registration
occasional-licence-scotland
apply-skip-permit
claims-management-authorisation
street-collection-licence
public-charitable-collection-permit-scotland
architect
scrap-metal-dealer-registration
house-to-house-collection-licence
house-in-multiple-occupation-licence
house-in-multiple-occupation-licence-scotland
house-in-multiple-occupation-northern-ireland
road-occupation-licence-for-building-work
road-occupation-licence-scotland
busking-licence
tattooists-piercing-and-electrolysis-licence-scotland
tattooists-piercing-and-electrolysis-licence-northern-ireland
skin-piercing-and-tattooing
animal-boarding-establishment-licence
animal-boarding-establishment-northern-ireland
street-trading-licence-northern-ireland
market-stall-licence
food-premises-approval
pet-shop-licence
wildlife-licence-northern-ireland
motor-salvage-operator-registration
second-hand-dealers-registration-scotland
riding-establishment-licence
riding-establishment-northern-ireland
weighbridge-operator-certificate
waste-carrier-or-broker-registration
waste-carrier-or-broker-registration-northern-ireland
register-hairdressing-business-northern-ireland
register-a-hairdressing-business
approval-of-premises-for-civil-marriage-or-civil-partnership
approval-of-premises-for-civil-marriage-and-civil-partnership-northern-ireland
approval-of-premises-for-civil-marriage-scotland
permission-to-distribute-leaflets
permission-to-use-street-or-pavement-space-for-displays-scotland
permission-to-place-tables-and-chairs-on-the-pavement
performing-animals-registration
caravan-site-licence-northern-ireland
massage-and-special-treatment-premises-licensing
sex-establishment-sex-cinema-licence
waste-carrier-or-broker-registration-scotland
petroleum-storage-licence
petroleum-storage-licence-northern-ireland
street-traders-licence-scotland
food-premises-approval-northern-ireland
food-premises-approval-scotland
food-premises-approval-wales
theatre-licence-scotland
skip-licence-scotland
window-cleaners-licence-scotland
zoo-licence
zoo-licence-northern-ireland
skip-operator-licence
auction-premises-registration
nursing-agency-wales
nursing-agency-northern-ireland
late-hours-catering-licence-scotland
venison-dealer-licence-scotland
entertainment-licence-northern-ireland
public-entertainment-licence
market-operators-licence-scotland
livestock-market-approval-northern-ireland
animal-movement-licence-northern-ireland
animal-movement-england
animal-movement-wales
pollution-prevention-and-control-permit-air-emissions-scotland
boat-hire-licence-scotland
pleasure-boats-licence
safety-certificates-for-sports-grounds
safety-certificates-for-sports-grounds-northern-ireland
day-nurseries-wales
day-nurseries-scotland
knife-dealers-licence-scotland
itinerant-metal-dealers-licence-scotland
metal-dealers-licence
hypnotism-permit-england-scotland-and-wales
registration-for-private-landlords-scotland
actuaries-england-scotland-wales
adult-placement-services-registration-england
adult-placement-services-registration-scotland
adult-placement-services-registration-northern-ireland
adventure-activities-licence
air-travel-organisers-licence
animal-byproducts-approval-northern-ireland
animal-transport-authorisation-northern-ireland
animal-transport-vehicle-approval-northern-ireland
anti-money-laundering-registration
regulated-qualification-course-approval-england-wales
approval-of-operating-plants-handling-or-processing-meat-england-scotland-wales
approval-of-operating-plants-handling-or-processing-meat-northern-ireland
become-a-registered-auditor
become-approved-building-inspector-england-and-wales
business-boat-licence
register-as-childminder-wales
register-as-childminder-england
registering-as-childminder-scotland
register-as-childminder-northern-ireland
approval-of-home-child-carers-northern-ireland
discharge-of-trade-effluent-england-and-wales
protected-wreck-site-licences
temporary-events-notice
safety-certificates-for-regulated-stands-at-sports-grounds-e-s-w
safety-certificates-for-regulated-stands-at-sports-grounds
club-premises-certificate
accredited-electrical-and-electronic-equipment-producer-compliance-scheme-england-wales
